subject_area,1979.0,1996.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Tumorbiologie,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,2,1
Astronomie,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,3,0,0,0
Nachrichtentechnik,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,2,1,1,0
Archäologie,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,4,0,0
Kernphysik,0,1,0,0,0,0,0,1,2,0,0,2,1,0,1,0,2,0,0
Werkstoffwissenschaft,0,0,0,1,2,1,2,0,0,0,3,1,0,0,0,0,0,0,0
Neuropathologie,0,0,0,0,0,1,0,1,1,0,1,1,2,1,1,0,1,0,0
Analytische Chemie,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,0,3
Toxikologie,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,1,2,1
Mathematische Modellierung,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,4
Religionswissenschaften,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,2,0,1
Kosmologie,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,2,0,1
Künstliche Intelligenz,0,0,0,0,0,0,0,2,1,0,2,1,0,0,1,2,1,0,0
Spektroskopie,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,2,0
Teilchenphysik,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,2,0,0
Bioanorganische Chemie,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,3
Mechatronik,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,1,0,2
Psycholinguistik,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,3
Kunststofftechnik,0,0,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,0,2
Stochastik,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,1,2,0,0
Kristallografie,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1
Hydrogeologie,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,2,0
Sozialwissenschaften,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,1,1,1
Physiologische Chemie,0,0,1,0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1
Fernerkundung,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,3,0
Molekulare Neurobiologie,0,0,0,0,1,3,0,0,1,1,0,1,0,0,0,1,0,0,1
Evangelische Theologie,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0
Pharmazeutische Biologie,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,2,2
Neurogenetik,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,3
Festkörperchemie,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,1,1,0,1
Ozeanografie,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,2,0
Jura,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,1,1,0
Veterinärmedizin,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,1,0
Theaterwissenschaften,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,0
Experimentelle Physik,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,2,0,0
Geodäsie,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,2
Allergologie,0,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,0,1,0
Medizinische Physik,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,2,0,1
Lasertechnik,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,1
Rheumatologie,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,1,0,1,0
Klimatologie,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,1,1,0,0
Robotik,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,3,0,0
Photonik,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,1
Quantenphysik,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,2
Modellierung,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1
Pflanzenökologie,0,0,0,0,1,0,1,0,1,2,0,0,0,1,1,0,1,0,0
Computerlinguistik,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
Islamwissenschaften,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,1,0,0
Phytopathologie,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,2,0,0
Katalyse,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
Ökonomie,0,0,0,0,0,0,0,0,1,0,3,0,1,3,0,0,0,0,0
Medizinische Chemie,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,3,0
Pneumologie,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,1,1,0
Indologie,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0
Kunstwissenschaften,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,2,1,0
Polymerchemie,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,2,0
Klimaforschung,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
Leichtbau,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1
Mikrotechnik,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
Wirtschaftsinformatik,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1
Slawistik,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,1
Chemische Verfahrenstechnik,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,2,0
Elektrophysiologie,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0
Musikwissenschaften,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0
Biomechanik,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0
Kirchengeschichte,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,0
Geoinformatik,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1
Stammzellbiologie,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0
Nuklearmedizin,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1,0
Agrarökonomie,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,0
Humanmedizin,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,1,0,0
Signalverarbeitung,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0
Neuroimmunologie,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0
Theoretische Biologie,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,0
Afrikanistik,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2,0,0,0
Immunbiologie,0,0,0,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0
Systemtechnik,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1
Kristallographie,0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Mykologie,0,0,1,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0
Angewandte Physik,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0
Byzantinistik,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
Paläontologie,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1
Kommunikationswissenschaften,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0
Diabetologie,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,1,0
Materialphysik,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,1
Physik der kondensierten Materie,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2,0
Umweltphysik,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,3,0
Pathobiochemie,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0
Plasmaphysik,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0
Pflanzenernährung,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,2,0
Arabistik,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,1
Neuroendokrinologie,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3
Kontinuumsmechanik,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1
Epigenetik,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0
Magnetismus,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0
Laserphysik,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
Differentialgeometrie,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0
Klinische Pharmakologie,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0
Agrarwissenschaften,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0
Neuropsychologie,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1
Automatisierungstechnik,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0
Aerodynamik,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
Neurochirurgie,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,0
Verteilte Systeme,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0
Klinische Neurowissenschaften,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0
Pädagogik,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,0
Neuere Geschichte,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1
Filmwissenschaften,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0
Molekulare Pharmakologie,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0
Entomologie,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,0
Meeresgeologie,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0
Elektrochemie,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0
Verhaltensbiologie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3
Technische Mechanik,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
Forstwissenschaften,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0
Textiltechnik,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Molekülphysik,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0
Genomik,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0
Metallurgie,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
Evolution,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1
Klinische Chemie,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Skandinavistik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1
Sedimentologie,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0
Operations Research,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0
Slavistik,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1
Oberflächenchemie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1
Bodenökologie,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0
Sportwissenschaften,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1
Literaturwissenschaft,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
Sprachwissenschaften,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2
Germanistische Mediävistik,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0
Hochfrequenztechnik,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0
Ethik,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0
Werkzeugmaschinen,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1
Massivbau,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
Meereschemie,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0
Osteuropäische Geschichte,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
Bildverarbeitung,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1
Didaktik der Biologie,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
Paläoklimatologie,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0
Systemische Neurowissenschaften,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
Musikwissenschaft,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Europäische Ethnologie,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Fügetechnik,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
